Type	Frequency	bleu	chrf	macrof	microf	macrobleu	microbleu
seeker	2	99.98657	0.999934	99.98495	99.99360	99.97920	99.98585	
self	2	99.98657	0.999951	99.98495	99.99360	99.97698	99.98515	
selection	2	99.98657	0.999916	99.98495	99.99360	99.98106	99.98469	
seeheim	2	99.98657	0.999928	99.98495	99.99360	99.98134	99.98918	
seconds	2	99.98873	0.999938	99.98495	99.99360	99.98133	99.98628	
section	2	99.98731	0.999933	99.98495	99.99360	99.97813	99.98542	
searching	2	99.98657	0.999916	99.98495	99.99360	99.98439	99.98681	
sebastián	2	99.98873	0.999929	99.98495	99.99360	99.97717	99.98762	
sda	2	99.99088	0.999972	99.98495	99.99360	99.98462	99.99019	
scientists	2	99.98731	0.999910	99.98495	99.99360	99.98372	99.98723	
schröer	2	99.99088	0.999952	99.98495	99.99360	99.98272	99.98847	
schramm	2	99.99080	0.999943	99.98495	99.99360	99.97769	99.98958	
schools	2	99.98873	0.999938	99.98495	99.99360	99.98302	99.98675	
schmidt	2	99.98873	0.999938	99.98495	99.99360	99.98037	99.98596	
schneider	2	99.98873	0.999916	99.98495	99.99360	99.97484	99.98621	
schlierenzauer	2	99.98657	0.999896	99.98495	99.99360	99.97777	99.98582	
schemmelmann	2	99.98873	0.999914	99.98495	99.99360	99.97504	99.98618	
scheuer	2	99.98657	0.999937	99.98495	99.99360	99.98019	99.98542	
scary	2	99.98873	0.999940	99.98495	99.99360	99.97935	99.98731	
scared	2	99.98657	0.999934	99.98495	99.99360	99.98306	99.98520	
scales	2	99.99503	0.999964	99.98495	99.99360	99.98495	99.99360	
scaffold	2	99.98946	0.999932	99.98495	99.99360	99.98432	99.98618	
satirical	2	99.99080	0.999931	99.98495	99.99360	99.98076	99.98910	
sasic	2	99.98657	0.999940	99.98495	99.99360	99.97426	99.98507	
são	2	99.98731	0.999952	99.98495	99.99360	99.97455	99.98566	
sang	2	99.98657	0.999947	99.98495	99.99360	99.97679	99.98567	
salzburg	2	99.98873	0.999925	99.98495	99.99360	99.97830	99.98768	
salute	2	99.98657	0.999934	99.98495	99.99360	99.97601	99.98564	
sale	2	99.98657	0.999956	99.98495	99.99360	99.98006	99.98557	
salaries	2	99.98873	0.999922	99.98495	99.99360	99.98032	99.98756	
salah	2	99.98657	0.999940	99.98495	99.99360	99.97748	99.98589	
saint	2	99.99080	0.999955	99.98495	99.99360	99.98062	99.98928	
saalfelden	2	99.98873	0.999921	99.98495	99.99360	99.98332	99.98664	
ryder	2	99.99080	0.999964	99.98495	99.99360	99.98046	99.98944	
rwa	2	99.99080	0.999967	99.98495	99.99360	99.97995	99.98921	
rw	2	99.98873	0.999958	99.98495	99.99360	99.97809	99.98758	
runner	2	99.98657	0.999934	99.98495	99.99360	99.98398	99.98776	
rush	2	99.98657	0.999946	99.98495	99.99360	99.98256	99.98571	
rules	2	99.99161	0.999953	99.98495	99.99360	99.98489	99.98809	
ruhr	2	99.98657	0.999946	99.98495	99.99360	99.98187	99.98635	
rüdingloh	2	99.98873	0.999916	99.98495	99.99360	99.97329	99.98618	
rtl	2	99.98657	0.999952	99.98495	99.99360	99.98376	99.98590	
royal	2	99.98657	0.999940	99.98495	99.99360	99.98246	99.98829	
rottmann	2	99.99088	0.999932	99.98495	99.99360	99.98361	99.98914	
rot	2	99.99080	0.999967	99.98495	99.99360	99.97880	99.98893	
ron	2	99.98657	0.999952	99.98495	99.99360	99.97695	99.98730	
rolling	2	99.98731	0.999934	99.98495	99.99360	99.97527	99.98511	
rolf	2	99.99080	0.999961	99.98495	99.99360	99.98206	99.98961	
rocket	2	99.98731	0.999934	99.98495	99.99360	99.97854	99.98530	
rivals	2	99.98657	0.999934	99.98495	99.99360	99.97548	99.98419	
robert	2	99.98657	0.999934	99.98495	99.99360	99.97351	99.98712	
rio	2	99.98657	0.999952	99.98495	99.99360	99.97608	99.98344	
rights	2	99.98657	0.999934	99.98495	99.99360	99.97972	99.98582	
rhythms	2	99.98657	0.999928	99.98495	99.99360	99.97484	99.98535	
rival	2	99.98657	0.999940	99.98495	99.99360	99.97644	99.98578	
revue	2	99.98873	0.999940	99.98495	99.99360	99.97759	99.98691	
revealed	2	99.98657	0.999922	99.98495	99.99360	99.97861	99.98601	
reviewed	2	99.98731	0.999922	99.98495	99.99360	99.98004	99.98569	
results	2	99.98946	0.999931	99.98495	99.99360	99.97609	99.98679	
returning	2	99.98731	0.999916	99.98495	99.99360	99.98352	99.98753	
responder	2	99.98731	0.999916	99.98495	99.99360	99.98256	99.98624	
resign	2	99.98657	0.999934	99.98495	99.99360	99.97956	99.98558	
reservations	2	99.98731	0.999904	99.98495	99.99360	99.97883	99.98442	
request	2	99.98657	0.999928	99.98495	99.99360	99.98233	99.98557	
reputation	2	99.98657	0.999910	99.98495	99.99360	99.98272	99.98480	
republicans	2	99.99080	0.999919	99.98495	99.99360	99.97985	99.98943	
republic	2	99.98657	0.999931	99.98495	99.99360	99.98150	99.98455	
representative	2	99.98873	0.999896	99.98495	99.99360	99.97941	99.98697	
relieved	2	99.98657	0.999922	99.98495	99.99360	99.98302	99.98618	
relevant	2	99.98657	0.999922	99.98495	99.99360	99.97497	99.98743	
relationship	2	99.98873	0.999908	99.98495	99.99360	99.98291	99.98584	
reif	2	99.98657	0.999946	99.98495	99.99360	99.97899	99.98568	
regulatory	2	99.98731	0.999910	99.98495	99.99360	99.98177	99.98671	
rehearsal	2	99.98657	0.999925	99.98495	99.99360	99.97815	99.98547	
regularly	2	99.98657	0.999916	99.98495	99.99360	99.97682	99.98570	
regions	2	99.98731	0.999928	99.98495	99.99360	99.97917	99.98502	
regard	2	99.98657	0.999934	99.98495	99.99360	99.98135	99.98634	
reform	2	99.98657	0.999934	99.98495	99.99360	99.98245	99.98718	
reductions	2	99.98873	0.999920	99.98495	99.99360	99.98182	99.98698	
reduced	2	99.98657	0.999928	99.98495	99.99360	99.97972	99.98499	
recorded	2	99.98873	0.999932	99.98495	99.99360	99.98370	99.98723	
reconnaissance	2	99.98657	0.999886	99.98495	99.99360	99.97864	99.98585	
reds	2	99.98731	0.999946	99.98495	99.99360	99.98069	99.98506	
recognition	2	99.98731	0.999904	99.98495	99.99360	99.97806	99.98528	
reception	2	99.98657	0.999916	99.98495	99.99360	99.98111	99.98573	
receiving	2	99.98657	0.999916	99.98495	99.99360	99.98098	99.98542	
reasonably	2	99.98657	0.999910	99.98495	99.99360	99.98039	99.98501	
reads	2	99.98657	0.999940	99.98495	99.99360	99.97359	99.98505	
reading	2	99.98873	0.999940	99.98495	99.99360	99.97884	99.98647	
reactions	2	99.98873	0.999917	99.98495	99.99360	99.97952	99.98728	
reacted	2	99.98657	0.999928	99.98495	99.99360	99.97598	99.98556	
rapper	2	99.98731	0.999934	99.98495	99.99360	99.98016	99.98428	
ranking	2	99.98657	0.999928	99.98495	99.99360	99.97987	99.98521	
react	2	99.98657	0.999940	99.98495	99.99360	99.98392	99.98576	
ranged	2	99.99088	0.999935	99.98495	99.99360	99.97429	99.98806	
rally	2	99.98657	0.999940	99.98495	99.99360	99.98277	99.98475	
raised	2	99.98657	0.999951	99.98495	99.99360	99.97567	99.98637	
raheem	2	99.98657	0.999939	99.98495	99.99360	99.97880	99.98623	
racist	2	99.98657	0.999943	99.98495	99.99360	99.97500	99.98517	
racism	2	99.98657	0.999934	99.98495	99.99360	99.97790	99.98493	
radio	2	99.98873	0.999950	99.98495	99.99360	99.97922	99.98641	
quality	2	99.98873	0.999938	99.98495	99.99360	99.98078	99.98605	
quartet	2	99.98657	0.999929	99.98495	99.99360	99.97865	99.98426	
push	2	99.98657	0.999946	99.98495	99.99360	99.98221	99.98554	
quabeck	2	99.98657	0.999928	99.98495	99.99360	99.97379	99.98524	
purchased	2	99.98657	0.999916	99.98495	99.99360	99.97824	99.98558	
purchase	2	99.98657	0.999927	99.98495	99.99360	99.98244	99.98505	
pungsan	2	99.98657	0.999937	99.98495	99.99360	99.97372	99.98542	
pull	2	99.98657	0.999946	99.98495	99.99360	99.98058	99.98513	
published	2	99.98657	0.999916	99.98495	99.99360	99.98310	99.98672	
psg	2	99.98731	0.999952	99.98495	99.99360	99.97951	99.98672	
provoked	2	99.99088	0.999924	99.98495	99.99360	99.98278	99.99076	
provoke	2	99.98731	0.999928	99.98495	99.99360	99.98376	99.98598	
proving	2	99.98657	0.999928	99.98495	99.99360	99.98128	99.98671	
proved	2	99.98657	0.999934	99.98495	99.99360	99.97587	99.98496	
protesting	2	99.98657	0.999910	99.98495	99.99360	99.98235	99.98714	
protect	2	99.98731	0.999933	99.98495	99.99360	99.98298	99.98646	
prosecutor	2	99.98657	0.999910	99.98495	99.99360	99.98256	99.98565	
promising	2	99.98731	0.999921	99.98495	99.99360	99.98260	99.98433	
promoted	2	99.98873	0.999930	99.98495	99.99360	99.98125	99.98795	
proportion	2	99.98657	0.999910	99.98495	99.99360	99.98314	99.98623	
promised	2	99.98873	0.999922	99.98495	99.99360	99.97612	99.98721	
project	2	99.98657	0.999928	99.98495	99.99360	99.98283	99.98620	
products	2	99.98657	0.999922	99.98495	99.99360	99.97938	99.98523	
private	2	99.98731	0.999933	99.98495	99.99360	99.97626	99.98534	
prix	2	99.98657	0.999946	99.98495	99.99360	99.97785	99.98475	
priority	2	99.99080	0.999937	99.98495	99.99360	99.97923	99.98971	
principle	2	99.98873	0.999922	99.98495	99.99360	99.98254	99.98766	
princess	2	99.98657	0.999922	99.98495	99.99360	99.97590	99.98590	
prime	2	99.98731	0.999940	99.98495	99.99360	99.97837	99.98584	
primus	2	99.99080	0.999949	99.98495	99.99360	99.98009	99.98915	
pretty	2	99.98657	0.999939	99.98495	99.99360	99.98004	99.98580	
pressing	2	99.98657	0.999922	99.98495	99.99360	99.98198	99.98515	
presidency	2	99.99088	0.999930	99.98495	99.99360	99.98415	99.98663	
presentation	2	99.98657	0.999898	99.98495	99.99360	99.98387	99.98625	
present	2	99.98873	0.999939	99.98495	99.99360	99.98069	99.98760	
prepare	2	99.98657	0.999933	99.98495	99.99360	99.97726	99.98591	
preparation	2	99.98657	0.999904	99.98495	99.99360	99.98237	99.98582	
premium	2	99.98657	0.999928	99.98495	99.99360	99.97878	99.98401	
premises	2	99.98873	0.999932	99.98495	99.99360	99.98173	99.98655	
praxair	2	99.99080	0.999943	99.98495	99.99360	99.98378	99.99018	
praised	2	99.98731	0.999928	99.98495	99.99360	99.97147	99.98551	
preliminary	2	99.98657	0.999904	99.98495	99.99360	99.98227	99.98619	
prague	2	99.98873	0.999944	99.98495	99.99360	99.98282	99.98610	
postponed	2	99.98657	0.999921	99.98495	99.99360	99.97994	99.98639	
poster	2	99.99295	0.999952	99.98495	99.99360	99.98486	99.99083	
portal	2	99.98657	0.999934	99.98495	99.99360	99.98066	99.98567	
populist	2	99.98731	0.999922	99.98495	99.99360	99.97929	99.98474	
pompeo	2	99.98657	0.999934	99.98495	99.99360	99.97810	99.98585	
politicians	2	99.98873	0.999904	99.98495	99.99360	99.98149	99.98712	
politically	2	99.98657	0.999904	99.98495	99.99360	99.98058	99.98544	
poliovirus	2	99.98873	0.999920	99.98495	99.99360	99.98430	99.98562	
poliomyelitis	2	99.98657	0.999892	99.98495	99.99360	99.98033	99.98539	
policeman	2	99.98657	0.999916	99.98495	99.99360	99.97879	99.98558	
policemen	2	99.98731	0.999916	99.98495	99.99360	99.98044	99.98576	
polar	2	99.98873	0.999941	99.98495	99.99360	99.98023	99.98792	
poetry	2	99.99088	0.999954	99.98495	99.99360	99.98269	99.98731	
pm	2	99.98873	0.999968	99.98495	99.99360	99.98244	99.98797	
plot	2	99.98946	0.999956	99.98495	99.99360	99.98304	99.98727	
please	2	99.98657	0.999934	99.98495	99.99360	99.97873	99.98532	
plays	2	99.98731	0.999940	99.98495	99.99360	99.98101	99.98705	
planning	2	99.99295	0.999947	99.98495	99.99360	99.98146	99.99028	
plenty	2	99.98657	0.999934	99.98495	99.99360	99.97646	99.98475	
plain	2	99.98873	0.999964	99.98495	99.99360	99.97260	99.98663	
pilz	2	99.99295	0.999961	99.98495	99.99360	99.97629	99.99026	
pilots	2	99.98657	0.999934	99.98495	99.99360	99.97891	99.98562	
pile	2	99.98657	0.999946	99.98495	99.99360	99.98139	99.98551	
piece	2	99.98873	0.999950	99.98495	99.99360	99.98369	99.98697	
picture	2	99.98657	0.999928	99.98495	99.99360	99.97957	99.98571	
petra	2	99.98657	0.999940	99.98495	99.99360	99.96888	99.98523	
persons	2	99.98657	0.999928	99.98495	99.99360	99.98171	99.98657	
piano	2	99.99088	0.999953	99.98495	99.99360	99.98283	99.98738	
personnel	2	99.98731	0.999916	99.98495	99.99360	99.97366	99.98554	
perfectly	2	99.98657	0.999916	99.98495	99.99360	99.97852	99.98540	
percentage	2	99.98657	0.999911	99.98495	99.99360	99.98038	99.98538	
pensioner	2	99.98873	0.999919	99.98495	99.99360	99.98417	99.98803	
peak	2	99.98657	0.999946	99.98495	99.99360	99.97760	99.98493	
pedestrian	2	99.98873	0.999920	99.98495	99.99360	99.98282	99.98620	
patrol	2	99.98657	0.999934	99.98495	99.99360	99.98091	99.98503	
passers	2	99.99080	0.999943	99.98495	99.99360	99.98356	99.98938	
passengers	2	99.98731	0.999910	99.98495	99.99360	99.98329	99.98612	
passenger	2	99.99080	0.999931	99.98495	99.99360	99.98327	99.99013	
patrick	2	99.98657	0.999928	99.98495	99.99360	99.97840	99.98556	
parting	2	99.98946	0.999938	99.98495	99.99360	99.97558	99.98573	
partial	2	99.98657	0.999929	99.98495	99.99360	99.97866	99.98495	
parliament	2	99.98657	0.999910	99.98495	99.99360	99.97818	99.98463	
paralysis	2	99.98657	0.999921	99.98495	99.99360	99.97844	99.98597	
paper	2	99.98657	0.999940	99.98495	99.99360	99.97606	99.98525	
paid	2	99.98657	0.999946	99.98495	99.99360	99.96906	99.98437	
page	2	99.98731	0.999951	99.98495	99.99360	99.98322	99.98468	
owned	2	99.98731	0.999940	99.98495	99.99360	99.97886	99.98654	
overshadowed	2	99.98657	0.999898	99.98495	99.99360	99.98321	99.98560	
outcome	2	99.98873	0.999944	99.98495	99.99360	99.98251	99.98672	
outfit	2	99.98657	0.999934	99.98495	99.99360	99.97689	99.98547	
Östersund	2	99.98873	0.999926	99.98495	99.99360	99.98234	99.98777	
p.	2	99.98657	0.999958	99.98495	99.99360	99.98046	99.98642	
organizations	2	99.98873	0.999892	99.98495	99.99360	99.97968	99.98763	
organisers	2	99.99080	0.999925	99.98495	99.99360	99.98159	99.98894	
originally	2	99.99080	0.999925	99.98495	99.99360	99.98013	99.98975	
organiser	2	99.98657	0.999916	99.98495	99.99360	99.97968	99.98507	
organic	2	99.98657	0.999928	99.98495	99.99360	99.97496	99.98497	
options	2	99.98873	0.999938	99.98495	99.99360	99.97964	99.98598	
optical	2	99.98731	0.999928	99.98495	99.99360	99.97461	99.98476	
operations	2	99.98873	0.999920	99.98495	99.99360	99.97669	99.98593	
operation	2	99.98657	0.999916	99.98495	99.99360	99.98273	99.98483	
opens	2	99.98873	0.999940	99.98495	99.99360	99.97933	99.98674	
openly	2	99.98657	0.999934	99.98495	99.99360	99.98007	99.98525	
onyeka	2	99.98873	0.999944	99.98495	99.99360	99.97960	99.98800	
ongoing	2	99.98873	0.999938	99.98495	99.99360	99.98375	99.98648	
olympics	2	99.98873	0.999932	99.98495	99.99360	99.98468	99.98526	
olching	2	99.99080	0.999943	99.98495	99.99360	99.98406	99.99070	
ogc	2	99.98731	0.999952	99.98495	99.99360	99.97619	99.98508	
offside	2	99.98657	0.999928	99.98495	99.99360	99.98019	99.98538	
official	2	99.98873	0.999932	99.98495	99.99360	99.98192	99.98708	
officer	2	99.98873	0.999938	99.98495	99.99360	99.98085	99.98665	
offering	2	99.98657	0.999922	99.98495	99.99360	99.98175	99.98533	
obligation	2	99.98657	0.999910	99.98495	99.99360	99.97877	99.98502	
obviously	2	99.98657	0.999916	99.98495	99.99360	99.98046	99.98504	
object	2	99.98657	0.999934	99.98495	99.99360	99.97656	99.98474	
objects	2	99.98873	0.999938	99.98495	99.99360	99.97688	99.98516	
nübel	2	99.99080	0.999955	99.98495	99.99360	99.98439	99.99024	
nowhere	2	99.99295	0.999953	99.98495	99.99360	99.98424	99.99046	
novelty	2	99.98657	0.999928	99.98495	99.99360	99.98323	99.98498	
november	2	99.98731	0.999922	99.98495	99.99360	99.97469	99.98420	
notified	2	99.98731	0.999922	99.98495	99.99360	99.98325	99.98625	
noted	2	99.98946	0.999950	99.98495	99.99360	99.98394	99.98752	
norbert	2	99.98657	0.999933	99.98495	99.99360	99.97068	99.98511	
nor	2	99.98657	0.999952	99.98495	99.99360	99.97615	99.98457	
noon	2	99.98657	0.999946	99.98495	99.99360	99.98046	99.98443	
none	2	99.99088	0.999962	99.98495	99.99360	99.98116	99.98780	
nomination	2	99.98657	0.999910	99.98495	99.99360	99.98156	99.98497	
nobody	2	99.99080	0.999949	99.98495	99.99360	99.98249	99.98990	
nobel	2	99.98731	0.999940	99.98495	99.99360	99.97330	99.98598	
nizza	2	99.99080	0.999955	99.98495	99.99360	99.98151	99.98947	
noise	2	99.98657	0.999950	99.98495	99.99360	99.98201	99.98414	
niko	2	99.98657	0.999946	99.98495	99.99360	99.97660	99.98568	
nights	2	99.98657	0.999934	99.98495	99.99360	99.98119	99.98604	
nico	2	99.98873	0.999946	99.98495	99.99360	99.97370	99.98696	
neymar	2	99.98873	0.999943	99.98495	99.99360	99.97799	99.98760	
nick	2	99.99080	0.999961	99.98495	99.99360	99.98115	99.98927	
neuler	2	99.98657	0.999934	99.98495	99.99360	99.98163	99.98555	
neighbors	2	99.98657	0.999916	99.98495	99.99360	99.98329	99.98687	
nervous	2	99.98731	0.999936	99.98495	99.99360	99.98389	99.98595	
necessary	2	99.98657	0.999917	99.98495	99.99360	99.97435	99.98434	
ndicka	2	99.98731	0.999934	99.98495	99.99360	99.97359	99.98470	
naturally	2	99.99295	0.999934	99.98495	99.99360	99.98383	99.99119	
nato	2	99.98657	0.999946	99.98495	99.99360	99.98246	99.98662	
nationwide	2	99.98873	0.999920	99.98495	99.99360	99.98252	99.98709	
names	2	99.98873	0.999950	99.98495	99.99360	99.98040	99.98577	
naila	2	99.98657	0.999941	99.98495	99.99360	99.98129	99.98538	
naberbäumer	2	99.98657	0.999904	99.98495	99.99360	99.97799	99.98633	
mützel	2	99.98657	0.999934	99.98495	99.99360	99.97693	99.98608	
muslims	2	99.98657	0.999928	99.98495	99.99360	99.98045	99.98423	
nabu	2	99.98657	0.999946	99.98495	99.99360	99.98321	99.98466	
münsterblickstraße	2	99.99295	0.999887	99.98495	99.99360	99.98421	99.99140	
multiple	2	99.98873	0.999928	99.98495	99.99360	99.97303	99.98721	
mozart	2	99.98657	0.999934	99.98495	99.99360	99.98329	99.98541	
mühlhoff	2	99.98657	0.999922	99.98495	99.99360	99.98268	99.98596	
moving	2	99.98657	0.999934	99.98495	99.99360	99.98078	99.98507	
movie	2	99.98946	0.999956	99.98495	99.99360	99.98034	99.98589	
moved	2	99.98873	0.999940	99.98495	99.99360	99.98091	99.98806	
motto	2	99.98657	0.999940	99.98495	99.99360	99.97995	99.98491	
motorcyclists	2	99.98657	0.999892	99.98495	99.99360	99.98243	99.98412	
moon	2	99.98657	0.999951	99.98495	99.99360	99.97897	99.98539	
monument	2	99.98657	0.999922	99.98495	99.99360	99.97726	99.98720	
monitored	2	99.98657	0.999921	99.98495	99.99360	99.98150	99.98609	
moments	2	99.99153	0.999943	99.98495	99.99360	99.98467	99.99054	
mohamed	2	99.98657	0.999937	99.98495	99.99360	99.97650	99.98630	
mogo	2	99.98657	0.999946	99.98495	99.99360	99.98380	99.98697	
models	2	99.98657	0.999934	99.98495	99.99360	99.97669	99.98542	
mobility	2	99.98731	0.999928	99.98495	99.99360	99.98178	99.98558	
mixed	2	99.98731	0.999940	99.98495	99.99360	99.97328	99.98573	
misleading	2	99.98731	0.999926	99.98495	99.99360	99.97477	99.98583	
mistakes	2	99.98657	0.999927	99.98495	99.99360	99.97662	99.98473	
mint	2	99.98657	0.999956	99.98495	99.99360	99.98080	99.98652	
ministry	2	99.98657	0.999922	99.98495	99.99360	99.98068	99.98450	
mini	2	99.98731	0.999946	99.98495	99.99360	99.97629	99.98586	
milos	2	99.98731	0.999945	99.98495	99.99360	99.97765	99.98578	
mind	2	99.99295	0.999971	99.98495	99.99360	99.98313	99.99130	
milk	2	99.98873	0.999956	99.98495	99.99360	99.98386	99.98666	
mere	2	99.98657	0.999946	99.98495	99.99360	99.97481	99.98396	
meppen	2	99.98873	0.999949	99.98495	99.99360	99.98264	99.98633	
mercedes	2	99.99080	0.999937	99.98495	99.99360	99.98208	99.99005	
midfielder	2	99.99295	0.999928	99.98495	99.99360	99.98473	99.99104	
mendes	2	99.98657	0.999934	99.98495	99.99360	99.97733	99.98622	
melodic	2	99.98731	0.999928	99.98495	99.99360	99.97342	99.98530	
meetings	2	99.98873	0.999932	99.98495	99.99360	99.98101	99.98708	
meet	2	99.98657	0.999946	99.98495	99.99360	99.98438	99.98545	
mediterranean	2	99.98946	0.999908	99.98495	99.99360	99.98291	99.98520	
measures	2	99.98873	0.999932	99.98495	99.99360	99.97515	99.98624	
meant	2	99.98657	0.999940	99.98495	99.99360	99.97771	99.98494	
matchdays	2	99.98657	0.999916	99.98495	99.99360	99.98367	99.98512	
master	2	99.98657	0.999934	99.98495	99.99360	99.98401	99.98528	
mascot	2	99.98657	0.999934	99.98495	99.99360	99.98013	99.98533	
matthias	2	99.98657	0.999931	99.98495	99.99360	99.97485	99.98394	
martina	2	99.98657	0.999928	99.98495	99.99360	99.97188	99.98568	
marry	2	99.98657	0.999940	99.98495	99.99360	99.98276	99.98898	
marries	2	99.98804	0.999938	99.98495	99.99360	99.98236	99.98912	
marko	2	99.98657	0.999940	99.98495	99.99360	99.96974	99.98566	
marketing	2	99.98873	0.999926	99.98495	99.99360	99.98104	99.98638	
mark	2	99.98657	0.999946	99.98495	99.99360	99.97894	99.98586	
marcus	2	99.98657	0.999934	99.98495	99.99360	99.97330	99.98544	
markit	2	99.98657	0.999934	99.98495	99.99360	99.97350	99.98451	
marco	2	99.98657	0.999940	99.98495	99.99360	99.97882	99.98608	
march	2	99.99088	0.999960	99.98495	99.99360	99.98312	99.98714	
manuel	2	99.98731	0.999934	99.98495	99.99360	99.96509	99.98477	
manning	2	99.98657	0.999928	99.98495	99.99360	99.97577	99.98479	
mann	2	99.98873	0.999956	99.98495	99.99360	99.97531	99.98627	
mandzukic	2	99.98873	0.999916	99.98495	99.99360	99.98158	99.98708	
managing	2	99.98873	0.999922	99.98495	99.99360	99.98072	99.98697	
management	2	99.98657	0.999910	99.98495	99.99360	99.98315	99.98606	
maintenance	2	99.98731	0.999904	99.98495	99.99360	99.97651	99.98520	
maintainance	2	99.99295	0.999923	99.98495	99.99360	99.98338	99.99018	
